Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_21 MA_50,0.30160170473637693,0.35460137554411175,0.010267455204438435,118.0,3053.0,4936.0,0.0
MA_21 MA_51,0.29122404310066624,0.713913478914376,0.010268089752915011,110.0,3073.0,4936.0,0.0
MA_21 MA_52,0.3551557079658458,0.8784037881045654,0.010248876274205206,114.0,3083.0,4936.0,0.0
MA_21 MA_53,0.37023239362995886,0.8615226863738965,0.010247620926380869,110.0,3106.0,4936.0,0.0
MA_21 MA_54,0.44544698691831125,0.9060390858626435,0.010259078325000028,110.0,3133.0,4936.0,0.0
MA_21 MA_55,0.44544698691831097,0.9686633648231517,0.010259078325000035,110.0,3143.0,4936.0,0.0
MA_21 MA_56,0.36325012602276097,1.134302080268168,0.010275375502777717,100.0,3160.0,4936.0,0.0
MA_21 MA_57,0.3495929235145599,1.024678207215243,0.010272323814719455,100.0,3163.0,4936.0,0.0
MA_21 MA_58,0.23436301726250622,1.047250801820101,0.010333424929021949,94.0,3172.0,4936.0,0.0
MA_21 MA_59,0.1457955192345532,1.0608134008313095,0.01037007851837833,94.0,3173.0,4936.0,0.0
MA_21 MA_60,0.05543541187455046,1.1411647287065572,0.01033420668476867,92.0,3168.0,4936.0,0.0
MA_21 MA_61,0.13149250023970963,1.0628881252444615,0.010347441358870306,90.0,3168.0,4936.0,0.0
MA_21 MA_62,0.02829545077397076,1.1845246627049164,0.010294888410934152,90.0,3162.0,4936.0,0.0
MA_21 MA_63,0.025757575358993597,1.14665787131925,0.01029615334490433,88.0,3157.0,4936.0,0.0
MA_21 MA_64,0.031816252427944815,1.0954823073378201,0.010296262822933682,88.0,3156.0,4936.0,0.0
MA_21 MA_65,-0.16755513834180444,1.080170565478844,0.010447514095961353,82.0,3154.0,4936.0,0.0
MA_21 MA_66,-0.1675551383418052,1.0230667298538187,0.010447514095961348,80.0,3152.0,4936.0,0.0
MA_21 MA_67,-0.15866597759582302,1.0876904928850784,0.010469588524983595,80.0,3148.0,4936.0,0.0
MA_21 MA_68,-0.12993473609829187,1.1118171216985648,0.010494285322948214,80.0,3147.0,4936.0,0.0
MA_21 MA_69,-0.11857910460714619,0.988072027611359,0.010501347647638617,82.0,3151.0,4936.0,0.0
MA_21 MA_70,-0.036230993954807965,0.8644650629932376,0.010465283145216782,78.0,3151.0,4936.0,0.0
MA_21 MA_71,-0.01241006380564233,0.902173711139812,0.01046230020399012,78.0,3150.0,4936.0,0.0
MA_21 MA_72,-0.07757559066500351,0.9171408101686047,0.010413548552930654,76.0,3145.0,4936.0,0.0
MA_21 MA_73,-0.03817150827889428,0.7296307030961382,0.010405419116327355,78.0,3145.0,4936.0,0.0
MA_21 MA_74,-0.04591333239325013,0.691733556814766,0.010405114093794864,76.0,3146.0,4936.0,0.0
MA_21 MA_75,-0.10352308222410979,0.613325822244768,0.010387754810871066,78.0,3145.0,4936.0,0.0
MA_21 MA_76,-0.10352308222410912,0.7951985554005183,0.010387754810871066,80.0,3149.0,4936.0,0.0
MA_21 MA_77,-0.062455085757909576,0.7463526483989475,0.010378906945031907,82.0,3141.0,4936.0,0.0
MA_21 MA_78,-0.06245508575791032,0.6327545898559879,0.010378906945031897,82.0,3141.0,4936.0,0.0
MA_21 MA_79,-0.13473647973047326,0.7219322398752794,0.010364069306532948,82.0,3139.0,4936.0,0.0
MA_21 MA_80,-0.13473647973047312,0.7327631795119174,0.010364069306532959,80.0,3142.0,4936.0,0.0
MA_21 MA_81,-0.13473647973047317,0.6448361429311504,0.010364069306532954,82.0,3138.0,4936.0,0.0
MA_21 MA_82,-0.13473647973047323,0.6424706199424803,0.01036406930653295,86.0,3137.0,4936.0,0.0
MA_21 MA_83,-0.13473647973047254,0.628597606303136,0.010364069306532952,88.0,3138.0,4936.0,0.0
